class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,142.3588,216.2222,100.8784,594.7143,29.2414
0,119.6585,249.8919,123.9786,552.913,24.9772
0,126.1721,231.5263,104.0263,738.3833,18.9819
0,122.5034,198.0286,87.0,418.5,25.0278
0,141.506,193.8095,81.6667,334.3333,21.1615
0,133.4745,202.131,87.6207,428.22,25.056
0,139.4048,204.8404,95.8295,441.4353,29.5737
0,136.994,241.0,128.0,468.0,14.6769
0,138.5875,212.7931,93.4091,438.2081,38.282
0,118.4018,247.4727,136.7632,579.8229,25.1969
0,162.3719,227.6962,104.6111,614.3986,24.0608
0,123.2503,209.4286,94.4545,417.2292,15.9716
0,154.8188,211.102,86.0571,557.5714,7.2409
0,115.7831,245.8333,127.3333,557.3333,38.2283
0,112.9836,199.5556,84.1364,413.1852,32.253
0,133.2515,189.7647,83.7917,337.1667,29.1921
0,87.8104,364.0,266.0,347.0,3.072
0,125.5236,226.0846,101.1111,661.9718,36.6717
0,128.3699,251.0635,122.7547,630.1059,24.4501
0,112.2786,381.5714,279.2593,487.4444,24.5238
0,129.2555,209.8449,92.989,480.2857,35.9273
0,110.6024,206.6875,93.4167,428.8125,24.4145
0,132.6521,193.2143,84.5946,229.9416,14.6461
0,114.6504,201.0826,88.0909,518.75,15.7714
0,135.8719,207.6207,90.1411,460.4312,26.7679
0,137.8875,208.2222,92.4444,476.4818,21.2555
0,135.4213,194.7297,81.5357,308.8926,18.9742
0,119.3058,188.6386,77.625,268.475,21.6581
0,125.5645,243.8627,112.9028,683.4028,21.7466
0,134.6615,206.8,85.8,372.6,16.8556
0,153.1571,226.5,114.5,710.5,17.9726
0,137.4814,267.1613,144.375,590.7029,8.9406
0,112.4981,216.0714,94.4105,610.7789,39.9877
0,123.5422,217.2143,96.0548,511.1538,38.6589
0,135.692,199.1818,91.8095,469.0645,32.5794
0,124.2044,207.5926,92.8995,449.0826,25.9944
0,160.8435,221.0,107.0,522.0,28.8766
0,115.4806,230.7059,116.2373,556.4074,34.242
0,119.6618,218.0952,98.3786,593.2353,24.543
0,125.3514,275.1504,168.3211,470.8889,33.4009
0,121.7754,244.1488,129.9778,579.1053,31.1741
0,106.2063,261.1,125.5,792.5,9.007
0,119.0745,208.9167,92.5556,427.2222,19.3108
0,135.2842,203.0952,93.8235,398.8294,24.6503
0,117.4261,251.4118,136.4459,467.4706,27.9717
0,128.5705,246.0833,113.4118,723.6857,21.7865
0,117.1407,201.4667,89.5333,482.6667,25.0806
0,135.6292,203.5556,88.3148,522.2105,21.4719
0,123.1682,268.7778,121.8154,774.4895,27.1475
0,127.5784,191.3158,79.9314,314.3056,37.0885
0,118.2099,277.6971,161.1111,455.1875,40.4533
0,145.4875,210.8872,92.2909,538.0,28.1394
0,129.3734,219.7375,97.1905,602.7188,19.4168
0,139.7741,199.6226,91.3731,399.0588,18.593
1,153.8571,192.2,118.0,312.5,14.6161
0,120.9931,215.25,104.5333,423.25,45.0002
0,113.2832,251.3158,118.9524,677.9762,29.2468
0,110.8746,327.2373,204.8182,474.0,24.5207
0,112.5723,285.6909,140.9495,409.4348,27.2546
0,132.7505,248.0249,124.7692,551.1538,24.1215
0,94.5298,210.7778,92.7778,516.3333,13.1073
0,104.7262,342.0,228.0,257.0,12.6761
0,140.2163,184.8235,81.6842,415.3333,13.4993
0,124.743,241.9045,116.8409,433.4651,26.7072
0,82.828,206.0,96.0,579.0,1.1594
0,115.1452,203.6957,90.6667,471.2778,36.2689
