class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,116.13453,274.41162,190.56123,392.18442,27.563097
0,115.747665,188.89243,82.34291,362.83554,17.481256
0,126.57389,208.69284,94.97209,485.2127,41.28403
0,138.94955,194.13821,84.38961,436.27423,32.8932
0,131.28088,230.22021,111.81794,604.371,40.92057
0,122.88667,226.26471,107.73924,517.2927,25.227188
0,131.66177,222.77003,101.663994,635.32794,15.566748
0,131.7194,195.80406,85.59716,423.8682,26.654724
0,111.1258,222.67834,105.92576,369.16214,16.142317
0,128.79381,262.33627,171.7192,246.8053,12.586713
0,123.0383,189.00407,81.43029,415.07843,33.347504
0,29.259996,408.98196,296.35696,590.1074,25.95895
0,127.50016,212.27174,95.34426,520.4983,30.547634
0,108.452614,186.81398,82.145706,295.5765,19.642439
0,140.522,220.43073,101.0982,759.20123,35.768158
0,125.46095,206.62703,93.22104,457.99658,17.208433
0,106.09194,203.58334,94.070564,334.87543,16.502003
0,136.98933,257.04596,120.57282,852.4734,15.800947
0,135.97258,227.47404,105.12982,560.90546,37.662266
0,126.50484,214.97498,99.7955,471.33002,23.983562
0,135.08376,259.60248,130.32423,774.6896,17.31929
0,138.24257,218.20973,99.15397,681.2299,33.27074
0,154.85689,226.06592,105.58961,629.6712,18.42954
0,71.04677,206.33272,93.38216,409.8882,24.566036
0,125.764824,226.01498,101.09561,622.001,25.056683
0,135.16806,207.19733,92.798355,496.02887,26.403809
0,128.38571,271.75336,125.72998,755.98517,19.181608
0,129.58604,230.15833,109.57784,627.1843,27.764715
0,124.52626,246.57614,119.320694,721.3124,18.371014
0,139.80261,242.18376,114.29164,637.0835,29.888416
0,148.23343,200.40251,89.23156,390.15286,27.778297
0,125.606064,214.70345,93.73112,635.75775,31.797085
0,94.63181,239.7912,121.834335,513.7518,23.639385
0,121.02485,214.0887,98.69743,340.71127,26.047874
0,119.76109,214.62143,96.98302,559.2078,46.78914
0,136.89606,198.17535,86.477974,512.08746,27.189674
0,118.78112,251.37389,125.23631,689.3738,21.507895
0,97.56618,216.56184,96.805565,585.5079,26.63873
0,119.630295,193.13449,85.182014,401.7083,22.380394
0,132.03545,207.27081,94.19082,530.37994,30.237318
0,136.81989,208.57791,92.50144,642.46625,34.68447
0,141.86554,244.28505,114.602036,655.8071,24.945747
0,123.48128,214.65034,96.36278,655.1841,38.31473
0,132.87686,383.27795,281.4023,377.47403,10.796801
0,139.2368,261.81927,158.35876,598.6934,20.134993
0,112.45275,227.60716,106.34221,706.05194,21.05269
0,112.062454,212.27835,94.753586,625.797,34.44828
0,130.70953,256.46237,151.2008,417.12466,32.282898
0,131.29416,203.739,86.940025,514.0849,17.794357
0,137.52312,207.70776,91.78513,442.23227,36.634846
0,145.6656,259.78525,131.60951,646.3008,33.82624
0,132.08496,218.61772,100.09653,574.0715,10.2025585
0,113.397484,201.4109,88.07648,534.8652,26.699566
0,112.10866,269.1791,159.03568,524.76935,22.4557
0,132.55357,184.98419,79.09625,334.22086,20.984697
0,130.38196,201.27933,87.19525,427.96686,30.495659
0,133.9033,253.18456,136.7095,422.59256,20.378027
0,131.3645,221.8827,100.2848,630.0506,38.206253
0,142.53998,257.8118,149.31241,618.318,54.048885
0,141.40637,231.21886,111.15818,639.88086,38.81667
0,130.40216,197.08223,86.29747,450.8343,25.68447
0,129.89944,214.77768,99.683266,684.4813,44.471592
0,119.25744,297.4359,194.25114,653.491,32.221336
0,129.65088,214.3687,95.801765,704.8299,26.006702
0,135.90236,251.43791,161.2459,164.63547,19.774061
