age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42.0,1.0,178074.0,12.0,2.0,1.0,5.0,4.0,0.0,0.0,1902.0,40.0,39.0,1.0
25.0,4.0,254746.0,9.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
32.0,4.0,123429.0,0.0,5.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
34.0,4.0,83800.0,15.0,2.0,8.0,5.0,4.0,0.0,0.0,0.0,30.0,39.0,0.0
19.0,4.0,162954.0,2.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,20.0,39.0,0.0
40.0,4.0,245073.0,5.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,20.0,39.0,0.0
34.0,4.0,150154.0,11.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
24.0,4.0,165064.0,15.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
17.0,4.0,194612.0,1.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,25.0,39.0,0.0
47.0,4.0,159726.0,11.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,85.0,39.0,1.0
46.0,4.0,315423.0,15.0,2.0,12.0,0.0,4.0,1.0,0.0,2042.0,50.0,39.0,0.0
29.0,4.0,128509.0,11.0,3.0,7.0,1.0,4.0,0.0,0.0,0.0,38.0,8.0,0.0
20.0,4.0,137876.0,11.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
23.0,4.0,216867.0,11.0,4.0,14.0,3.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
56.0,4.0,91262.0,11.0,2.0,14.0,0.0,1.0,1.0,0.0,0.0,45.0,39.0,0.0
51.0,4.0,115025.0,11.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
53.0,7.0,121294.0,5.0,3.0,8.0,4.0,4.0,0.0,0.0,0.0,45.0,31.0,0.0
61.0,4.0,95500.0,11.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
61.0,4.0,208919.0,12.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,60.0,39.0,1.0
70.0,0.0,210673.0,11.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,39.0,0.0
43.0,4.0,112181.0,8.0,2.0,13.0,5.0,4.0,0.0,0.0,1902.0,32.0,39.0,1.0
60.0,4.0,125832.0,11.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,72.0,2.0,0.0
33.0,4.0,223212.0,15.0,4.0,6.0,2.0,4.0,1.0,0.0,0.0,40.0,26.0,0.0
49.0,2.0,174981.0,12.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,47.0,39.0,1.0
36.0,4.0,160192.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
62.0,4.0,125832.0,6.0,6.0,7.0,1.0,4.0,0.0,0.0,0.0,35.0,39.0,0.0
44.0,5.0,187720.0,15.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0,1.0
38.0,2.0,256864.0,8.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
66.0,4.0,290578.0,5.0,5.0,7.0,1.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
28.0,4.0,410216.0,1.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,60.0,39.0,1.0
40.0,4.0,168071.0,11.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,28.0,39.0,0.0
