class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0.0,110.0625,221.7142857,98.0,628.0,25.81646366
1.0,119.7145576,231.8333333,153.5151515,591.0151515,25.38598722
0.0,125.0627615,225.6333333,98.53333333,647.8666667,28.3191337
0.0,131.0613599,211.3157895,94.97368421,499.1842105,20.60136415
0.0,127.9108352,223.8214286,102.0535714,520.8035714,31.72650485
0.0,134.7638889,208.8333333,84.33333333,406.7222222,29.20214773
0.0,116.7447917,222.4166667,102.25,570.8333333,27.74659013
0.0,114.588697,198.95,91.1,495.75,23.41682088
0.0,132.8197651,253.1987179,139.9230769,454.9871795,14.90186367
0.0,120.7072368,380.9473684,296.4210526,443.9473684,27.75945348
0.0,125.5453297,486.326087,466.3913043,765.2826087,31.19912873
0.0,132.949574,228.992674,107.8278388,567.6849817,37.1330528
0.0,120.8852596,205.8266667,94.77333333,513.1333333,35.09345998
0.0,133.617801,218.9375,115.375,417.4583333,27.50148355
0.0,121.0884495,215.5409836,98.54098361,468.6229508,13.69773912
0.0,132.9133127,211.7560976,98.07317073,330.9268293,12.63268661
0.0,130.8207127,345.0701493,232.4561404,358.4385965,24.04632853
0.0,135.6609687,215.6363636,91.0,572.4545455,40.39310963
0.0,109.9278846,246.7692308,113.4230769,792.1153846,28.26703288
0.0,116.8346008,227.4242424,104.5151515,736.3484848,21.86218206
0.0,133.7246835,206.85,88.05,436.85,30.91763251
0.0,117.4779412,212.4117647,104.4705882,611.1176471,34.97977666
0.0,123.5244161,255.0338983,138.3728814,588.3050847,28.84446
0.0,130.5917085,192.78,85.4,540.5,24.07944352
0.0,128.0948157,177.3438114,74.85068762,247.5618861,15.87737306
0.0,136.2552083,244.75,110.5833333,697.9166667,40.63542364
0.0,120.2035176,235.84,107.64,823.12,33.78719284
0.0,136.4435484,170.9583333,80.125,176.7916667,8.100818717
0.0,129.9422096,176.625,74.1875,210.4553571,9.849792646
0.0,112.2230143,255.3870968,122.0967742,681.7258065,16.73199562
0.0,127.6412411,196.4742268,83.13402062,490.0309278,50.38872171
0.0,135.627566,243.0,117.9767442,642.0465116,54.44584887
0.0,129.7386935,208.24,101.64,317.12,23.68101349
0.0,132.2729358,285.6909091,174.9818182,381.3818182,24.04455919
0.0,105.6489362,274.0,156.5,385.5,31.57926535
0.0,121.2609255,225.5306122,108.2040816,641.1020408,26.19042495
0.0,125.0428322,214.75,95.30555556,444.9027778,23.27459124
0.0,147.1262136,239.8461538,104.8846154,804.4230769,24.183715
0.0,143.0776699,424.9230769,330.9230769,460.7692308,34.41480348
0.0,127.7637326,255.0526316,139.0947368,376.8421053,18.47572638
0.0,125.1293998,260.9615385,123.599359,742.875,11.46520146
0.0,138.4848485,222.0,99.44827586,486.8965517,20.28360162
0.0,131.5021746,216.3138298,97.79255319,567.1170213,27.51825601
