age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,4,108086,8,6,7,3,4,0,-1,0,25,39,0
46,0,221931,9,0,0,1,4,1,2,0,60,26,0
36,4,168514,3,0,9,1,2,0,1,0,40,0,0
26,4,208100,15,4,10,3,4,1,0,0,24,39,0
33,7,232490,11,2,4,0,4,1,2,0,35,39,0
24,4,145214,15,4,7,1,4,0,2950,0,26,39,0
36,4,77514,15,4,4,3,1,0,0,0,40,39,0
82,6,69794,5,6,8,0,4,1,-1,0,16,39,0
20,4,121421,15,4,1,3,2,0,-1,0,31,39,0
37,4,184388,7,4,11,1,4,1,0,0,40,39,0
60,6,184129,9,2,5,0,4,1,0,0,80,39,0
35,4,188705,7,5,7,1,4,1,1,0,48,39,0
19,4,226886,0,4,8,3,4,1,0,1655,28,39,0
60,2,160277,14,2,10,0,4,1,2,1736,35,39,0
32,4,225667,11,2,12,0,4,1,0,0,40,39,0
78,6,136590,9,2,7,0,4,1,-1,0,32,2,0
52,6,195379,0,0,3,1,2,1,-1,0,40,39,0
21,0,268379,11,4,0,1,4,1,0,0,40,0,0
31,4,227964,11,5,12,1,4,1,1,0,40,39,0
53,4,270152,7,2,1,0,2,1,2,0,40,39,0
26,4,174400,1,4,1,3,4,1,1,0,60,39,0
38,4,126110,11,2,10,0,4,1,-1,0,40,39,0
65,4,109046,0,6,8,1,4,1,3,0,26,39,0
33,0,38622,11,4,0,3,4,1,-2,0,40,39,0
43,7,220418,8,0,11,1,4,1,0,0,65,39,0
25,7,101685,11,2,12,0,2,1,3,0,20,39,0
56,4,100899,9,2,11,0,4,1,15019,0,40,39,1
40,5,103986,6,0,5,1,4,1,0,0,47,39,0
32,7,174620,11,0,10,4,4,0,-1,0,25,39,0
23,4,130678,15,4,12,3,2,1,-1,0,14,39,0
49,4,74402,15,2,7,0,4,1,2,0,40,39,0
31,4,119285,2,4,7,3,4,1,0,0,40,39,0
45,4,106167,8,2,10,0,2,1,0,0,40,39,0
52,4,344200,0,2,12,0,4,1,0,0,45,39,0
44,4,264071,1,3,8,1,4,1,2,2008,65,39,0
34,6,122596,1,4,10,3,4,0,0,1759,48,39,0
32,4,192764,11,2,12,0,2,1,1,0,40,39,0
49,4,150155,11,2,7,0,4,1,0,0,50,39,1
30,4,148579,9,2,8,0,1,1,0,0,55,19,0
70,7,247503,9,6,0,1,4,0,-2,0,40,39,0
41,4,217420,11,4,1,4,4,0,0,0,50,39,0
28,4,99490,0,4,7,3,4,1,-1,0,25,39,0
40,4,370785,11,2,14,0,4,1,1,1890,40,26,1
28,4,114098,11,4,12,3,4,1,-3,0,23,39,0
40,4,72081,9,2,10,5,4,0,1,0,40,39,0
54,6,177872,15,2,10,0,4,1,1,0,45,39,0
36,4,208082,8,4,10,3,4,0,-1,0,40,39,0
37,4,183950,11,2,7,0,4,1,1,0,35,39,0
22,4,114606,1,4,7,3,4,1,0,0,40,39,0
42,4,298623,11,2,14,0,4,1,-2,0,40,39,0
48,5,127058,9,2,10,0,4,1,-4,0,40,39,0
37,4,207348,11,2,8,0,4,1,-2,0,40,39,0
25,4,212738,7,6,7,1,4,1,4342,0,40,39,0
46,4,177524,14,4,10,1,4,1,1,0,40,31,0
64,4,107808,15,2,4,0,4,1,-1,2012,40,39,1
29,4,304798,5,5,1,1,4,1,-2,0,40,39,0
64,6,49643,9,2,8,0,4,1,-1,0,33,39,0
56,4,457513,11,2,7,0,4,1,0,0,37,39,0
19,4,135680,15,4,12,3,2,1,0,0,40,39,0
32,2,190662,9,4,0,1,4,0,-1,0,11,39,0
51,4,197934,7,0,7,4,4,1,-2,0,40,39,0
35,4,187627,11,4,10,1,4,0,1,1709,40,39,0
25,4,170804,11,4,11,3,4,1,0,0,50,0,0
49,6,181239,11,4,5,4,4,1,0,0,48,39,0
30,7,174551,7,2,11,0,4,1,1,0,25,20,0
25,4,207513,11,4,1,3,4,0,1,0,35,39,0
48,4,259437,11,2,7,4,4,0,-1,0,30,39,0
30,4,259435,11,0,13,1,4,1,-1,0,42,39,0
52,4,176364,11,2,7,0,4,1,1,0,32,39,0
33,4,296921,15,5,10,1,4,0,1,0,40,39,0
53,4,168689,15,2,13,0,4,1,1,0,20,39,1
18,4,149364,0,4,8,3,4,0,0,0,40,39,0
57,6,76422,6,2,0,0,4,1,-1,0,40,39,0
48,7,80142,12,0,0,1,4,0,1,0,39,39,0
19,4,93816,5,4,7,3,4,1,0,0,40,26,0
59,4,248676,11,2,8,0,4,1,-1,0,40,39,0
30,4,182655,9,4,14,4,2,1,0,0,31,39,0
70,4,88955,9,2,12,0,4,1,0,0,40,39,0
19,4,122516,11,4,1,3,2,0,1,0,40,39,0
43,4,108065,15,2,12,0,4,1,2,0,40,39,1
38,4,83873,8,4,13,1,4,1,-2,0,35,39,0
23,4,201495,15,4,7,3,4,1,0,0,24,39,0
70,4,316733,11,2,10,0,2,1,1,0,60,39,0
57,4,36863,11,2,9,2,4,0,-1,1804,70,39,0
38,7,73344,8,4,1,1,4,0,0,0,48,39,0
90,8,396493,11,2,4,0,4,1,-1,0,40,39,0
31,6,425597,7,4,8,1,4,0,-1,0,40,39,0
49,6,136259,9,4,1,1,4,0,0,0,40,39,0
25,4,118584,6,4,7,3,4,1,0,0,40,39,0
43,6,346118,15,2,4,0,1,1,0,0,50,24,1
51,4,156348,11,5,12,1,4,1,0,0,30,2,0
33,4,214579,11,2,7,0,4,1,1,0,50,39,1
41,4,110640,9,2,4,0,4,1,-1,0,40,39,1
18,4,150418,2,4,5,3,4,1,-2,0,40,13,0
35,4,94599,11,2,7,0,4,1,1,1611,40,39,0
73,6,116886,15,2,5,0,4,1,-1,0,79,39,0
52,1,242697,11,6,7,1,4,0,0,0,40,39,0
28,7,92033,11,2,8,0,2,1,0,1609,40,39,0
32,4,71810,15,2,8,4,4,0,1,0,45,39,0
43,7,151340,9,2,10,0,1,1,1,0,40,39,1
29,4,104896,11,2,3,0,4,1,1,0,35,32,0
36,4,133075,11,4,7,1,4,1,-4,0,40,39,0
39,4,162224,11,5,1,1,4,0,-1,1770,40,39,0
45,4,169475,11,2,1,0,4,1,-1,0,40,39,0
23,4,104817,12,4,12,3,4,0,4879,0,15,39,0
30,4,183579,1,4,10,3,4,0,-1,0,17,39,0
21,4,97841,11,4,8,3,4,0,1,0,40,39,0
43,5,76233,14,2,0,0,4,1,14925,0,30,39,1
56,4,139429,11,6,8,1,4,0,0,0,32,39,0
33,4,162258,11,0,8,1,4,0,0,0,42,39,0
31,4,150222,11,2,8,0,4,1,0,0,35,39,0
43,4,192945,6,0,8,4,2,1,1,0,40,39,0
60,4,269830,11,2,13,0,2,1,-3,0,40,39,1
19,4,97616,11,4,7,3,4,0,0,0,35,39,0
