age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
49,4,188824,15,4,4,4,4,0,1,0,40,39,0
45,6,195717,1,2,1,5,4,0,-1,0,65,39,0
32,4,93414,5,2,5,0,4,1,100260,0,40,39,1
28,2,133286,7,0,1,1,4,1,0,0,40,39,0
37,4,159547,1,0,3,1,4,1,3,0,35,39,0
18,2,122084,1,4,1,3,4,0,0,0,10,39,0
45,4,203094,1,2,12,0,4,1,2,0,71,39,1
26,4,156358,15,4,7,3,4,1,-2,0,11,39,0
38,4,182528,1,2,14,0,4,1,0,0,45,39,0
49,0,55793,15,6,5,1,4,0,1,0,20,39,0
48,4,241246,1,6,1,4,2,0,3040,0,31,39,0
33,4,136765,15,4,3,1,4,1,-2,0,40,39,0
42,4,180012,1,2,3,0,4,1,-1,0,40,39,0
54,4,447065,15,2,12,0,4,1,1,0,40,39,1
42,4,342713,9,0,7,1,4,1,1,1681,20,39,0
41,2,85869,15,0,7,4,4,0,0,0,40,39,0
32,4,171319,1,0,3,1,4,0,1,0,40,39,0
56,6,147801,9,2,4,0,2,1,0,0,19,39,0
60,4,84033,11,2,14,0,4,1,-3,0,40,39,1
52,2,67997,8,2,3,0,4,1,-2,0,40,39,0
34,6,190629,8,2,4,0,4,1,0,0,44,39,0
73,4,234380,1,4,9,4,2,0,-1,0,23,39,0
35,4,215302,1,0,6,1,4,0,-1,0,40,39,0
28,4,212467,1,4,6,1,4,0,-1,0,35,26,0
24,0,74061,9,4,5,3,4,1,2,0,65,39,0
28,4,431648,8,4,5,3,4,0,-1,0,40,39,0
52,4,182537,7,2,1,0,4,1,0,1728,30,39,0
33,4,170091,15,2,1,5,4,0,1,0,47,39,1
21,4,143105,15,4,1,3,4,1,-1,0,7,39,0
29,4,230896,1,4,7,1,4,1,1,0,32,39,0
27,4,171684,15,4,12,1,4,0,2,0,45,39,0
46,4,355114,7,2,12,0,2,1,4016,0,40,39,0
29,4,332426,15,4,1,3,2,0,-2,0,40,39,0
19,7,186086,9,4,3,3,4,1,-1,0,18,39,0
43,4,118791,1,4,3,1,2,1,0,0,20,39,0
19,4,210375,1,4,4,2,4,1,2,0,45,39,0
30,5,295393,1,2,14,0,4,1,0,0,40,26,0
30,0,497038,11,0,5,1,4,1,1,0,50,39,0
35,4,198426,1,2,4,0,4,1,3,0,54,39,0
24,4,234270,8,0,1,1,4,1,3,0,40,39,0
67,2,325686,12,4,11,1,4,0,-1,0,30,39,0
28,0,270357,11,2,5,0,4,1,2,0,40,39,0
34,4,223189,11,2,5,0,4,1,1,0,50,20,0
19,4,86290,9,4,13,3,4,0,-3,0,50,39,0
29,4,232316,1,2,14,0,4,1,-2,0,48,39,0
41,4,73431,9,0,1,1,4,0,3,0,37,9,0
50,6,94799,1,2,12,0,4,1,-1,0,60,39,1
19,4,275118,1,4,1,3,4,0,-1,0,40,39,0
61,4,180695,14,0,5,1,4,0,1,0,45,39,0
49,4,203280,5,2,4,0,4,1,-8,0,71,39,1
54,4,274362,14,2,4,5,1,0,-1,1974,40,39,1
43,5,105264,15,4,1,1,4,0,0,0,16,39,0
41,4,197028,9,0,1,1,4,0,2,0,40,39,0
54,6,315394,9,2,3,0,4,1,2,0,35,39,1
57,4,266067,1,2,14,0,4,1,3281,0,40,39,0
35,4,201042,0,0,1,3,4,0,2,0,40,39,0
49,1,173011,9,2,7,0,4,1,-1,0,48,39,1
41,4,315958,15,0,12,1,4,0,1,1901,20,39,0
28,4,201389,7,2,3,0,4,1,3,0,20,39,1
47,4,64896,15,6,8,3,4,0,3,0,36,39,0
57,1,233471,15,2,8,0,2,1,1,0,40,39,0
25,6,32867,15,4,5,1,4,1,-3,0,40,39,0
42,2,136803,12,2,4,0,4,1,2,0,36,39,0
37,4,222726,15,2,3,5,4,0,1,0,24,26,0
30,4,140329,11,2,3,0,2,1,-2,0,45,39,1
34,4,330461,14,4,10,1,4,0,-15,-1,65,39,0
61,4,120335,9,2,1,1,4,1,4600,0,40,39,1
34,4,183524,15,5,8,1,4,1,0,0,40,39,0
31,4,272875,0,2,7,0,4,1,2,0,40,5,0
52,4,185609,1,2,3,0,4,1,0,0,48,39,0
40,4,179753,15,4,1,1,2,0,0,0,40,39,0
31,4,164491,11,4,7,1,4,1,2,0,47,39,0
20,4,256373,15,0,5,1,4,0,1,0,20,39,0
28,4,213510,8,4,3,4,2,0,1,0,43,39,0
33,4,209793,1,5,4,1,4,0,1,0,40,39,0
24,4,44614,1,4,8,3,4,0,0,0,40,39,0
18,4,173615,2,4,7,3,4,0,-1,0,32,13,0
20,4,241628,15,4,1,4,4,0,-1,0,39,39,0
29,4,86395,1,2,5,1,4,0,-2,0,50,39,0
43,4,150169,9,2,12,5,4,0,-1,0,40,11,1
55,4,209547,12,0,4,1,4,0,3346,0,36,39,0
31,2,135404,12,4,8,1,4,0,-1,0,37,39,0
31,2,253901,15,2,11,5,4,0,4,1984,50,39,0
40,6,167897,11,2,7,0,4,1,-1,0,50,39,0
45,4,74378,15,4,4,1,4,0,-2,0,44,39,0
39,4,159962,7,2,7,0,4,1,100006,0,78,0,1
41,4,247419,1,0,4,1,4,1,-2,0,20,39,0
46,4,352706,8,0,12,4,4,0,0,0,65,39,0
27,4,52696,15,2,12,0,4,1,1,0,20,39,0
20,4,237820,15,4,1,3,4,0,-1,0,40,39,0
29,4,231063,1,4,14,3,4,1,1,0,47,39,0
38,4,278634,1,2,3,0,4,1,3,0,69,39,1
53,4,434860,11,2,6,2,4,0,3558,0,40,39,0
36,1,191626,9,2,5,0,4,1,1,0,40,39,1
20,4,149102,1,4,12,1,4,0,2,0,35,39,0
35,4,136636,9,4,11,3,4,0,0,0,22,39,0
45,6,179600,15,0,5,1,4,1,1,0,35,39,0
49,4,157168,14,2,3,0,2,1,-2,0,40,39,0
48,4,207009,5,2,1,0,4,1,0,0,36,39,0
20,4,150166,11,4,6,4,4,0,-1,0,40,39,0
56,4,169480,9,2,5,0,4,1,0,0,25,39,0
33,6,190096,1,2,4,0,4,1,-1,0,60,39,0
54,4,174786,7,0,8,1,4,0,0,0,32,39,0
32,4,96873,9,2,12,5,1,1,4241,0,69,39,1
57,4,81801,1,2,6,0,4,1,-1,0,36,39,0
22,4,87684,15,4,1,3,4,1,-2,0,40,39,0
20,4,309908,1,4,12,3,4,0,-3,0,40,39,0
18,4,366803,15,4,12,3,4,1,3002,0,21,39,0
33,4,260919,10,2,5,0,4,1,0,0,54,39,1
49,7,184329,1,2,1,0,4,1,-1,0,35,39,0
36,4,295796,1,2,5,0,4,1,1,0,66,39,0
36,4,186958,1,5,4,1,4,1,0,0,40,39,0
32,4,255996,15,0,1,1,4,0,3,0,40,39,0
59,4,219991,1,4,1,1,4,0,-2,0,10,39,0
22,4,173203,15,4,7,3,4,1,0,0,10,39,0
57,4,163566,1,2,6,0,4,1,-1,0,40,39,0
41,4,247508,7,2,12,0,4,1,-1,0,53,39,1
47,4,301205,1,0,7,4,2,0,2,0,20,39,0
