Title,Author,Year,Citation count,Open access,Keyword
A Review of Tabular Data Synthesis Using GANs on an IDS Dataset,Stavroula Bourou|Andreas El Saer|Terpsichori-Helen Velivassaki|Artemis Voulkidis|Theodοre Zahariadis,2021,149,Open Access,Computer science|Adversarial system|Intrusion detection system|Generative grammar|Generative adversarial network|Key (lock)|Intrusion|Artificial intelligence|Machine learning|Data mining|Data science|Deep learning|Computer security
CTAB-GAN+: enhancing tabular data synthesis,Zilong Zhao|Aditya Kunar|Robert Birke|Hiek Van der Scheer|Lydia Y. Chen,2024,111,Open Access,Computer science|Unavailability|Categorical variable|Stochastic gradient descent|Differential privacy|Machine learning|Convergence (economics)|Artificial intelligence|Gradient descent|Data mining|Algorithm|Artificial neural network|Mathematics|Statistics
Application of tabular data synthesis using generative adversarial networks on machine learning-based multiaxial fatigue life prediction,GaoYuan He|Yongxiang Zhao|ChuLiang Yan,2022,61,NOT Open Access,Generative grammar|Machine learning|Artificial intelligence|Computer science|Metric (unit)|Artificial neural network|Novelty detection|Experimental data|Novelty|Engineering|Mathematics
Tabular data synthesis with generative adversarial networks: design space and optimizations,Tongyu Liu|Ju Fan|Guoliang Li|Nan Tang|Xiaoyong Du,2023,28,NOT Open Access,Computer science|Data publishing|Bridge (graph theory)|Generative grammar|Adversarial system|Code (set theory)|Space (punctuation)|Big data|Point (geometry)|Component (thermodynamics)|Generative adversarial network|Artificial intelligence|Deep learning|Machine learning|Data science|Data mining|Distributed computing|Publishing
Improving GAN with inverse cumulative distribution function for tabular data synthesis,Ban Li|Senlin Luo|Xiaonan Qin|Limin Pan,2021,25,NOT Open Access,Discriminator|Computer science|Cumulative distribution function|Transformation (genetics)|Inverse|Artificial neural network|Function (biology)|Generative model|Algorithm|Marginal distribution|Distribution (mathematics)|Data mining|Artificial intelligence|Pattern recognition (psychology)|Generative grammar|Mathematics|Probability density function|Statistics
Bi-discriminator GAN for tabular data synthesis,Mohammad Esmaeilpour|Nourhene Chaalia|Adel Abusitta|Franşois-Xavier Devailly|Wissem Maazoun|Patrick Cardinal,2022,19,NOT Open Access,Discriminator|Discriminative model|Computer science|Generator (circuit theory)|Binary number|Preprocessor|Benchmarking|Metric (unit)|Term (time)|Data mining|Artificial intelligence|Scheme (mathematics)|Algorithm|Pattern recognition (psychology)|Machine learning|Mathematics|Detector|Engineering|Power (physics)
Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space,Hengrui Zhang|Jiani Zhang|Balasubramaniam Srinivasan|Zhengyuan Shen|Xiao Qin|Christos Faloutsos|Huzefa Rangwala|George Karypis,2023,23,Open Access,Computer science|Generality|Column (typography)|Diffusion|Autoencoder|Data mining|Latent variable|Space (punctuation)|Synthetic data|Algorithm|Artificial intelligence|Artificial neural network
CTAB-GAN+: Enhancing Tabular Data Synthesis,Zilong Zhao|Aditya Kunar|Robert Birke|Lydia Y. Chen,2022,15,Open Access,Computer science|Categorical variable|Differential privacy|Data sharing|Convergence (economics)|Data mining|Machine learning
TabuLa: Harnessing Language Models for Tabular Data Synthesis,Zilong Zhao|Robert Birke|Lydia Y. Chen,2025,14,NOT Open Access,Computer science|Programming language|Natural language processing|Artificial intelligence|Computer graphics (images)
Controllable Tabular Data Synthesis Using Diffusion Models,Tongyu Liu|Ju Fan|Nan Tang|Guoliang Li|Xiaoyong Du,2024,12,Open Access,Diffusion|Computer science|Physics|Thermodynamics
